fase,Entrada_data,Admissão_data,Anúncio_data,Baixacomissãoparadiscussão_data,Apreciação_data,Votaçãonageneralidade_data,Baixacomissãoespecialidade_data,Votaçãofinalglobal_data,iniNr,iniTipo,iniDescTipo,iniLeg,iniSel,dataInicioleg,iniTitulo,iniTextoSubst,iniLinkTexto,iniId,iniAutorOutros,iniEventos,iniAutorDeputados,iniAutorGruposParlamentares,idCadastro,nome,GP,depCPDes,Publicação_data,EnvioàComissãoparafixaçãodaRedaçãofinal_data,peticoes,VotaçãoDeliberação_data,ResoluçãoPublicaçãoDAR_data,EnvioINCM_data,ResoluçãodaARPublicaçãoDR_data,Retiradadainiciativa_data,iniObs,iniTextoSubstCampo,iniAnexos,Baixacomissãodistribuiçãoinicialgeneralidade_data,Discussãogeneralidade_data,Requerimento_data,DecretoPublicação_data,Envioparapromulgação_data,Promulgação_data,Referenda_data,LeiPublicaçãoDR_data,AudiçãopromovidapeloPARparaaALRAA_data,AudiçãopromovidapeloPARparaaALRAM_data,AudiçãopromovidapeloPARparaoGovernodaRAA_data,AudiçãopromovidapeloPARparaoGovernodaRAM_data,ParecerdaALRAM_data,ParecerdoGovernodaRAA_data,ParecerdaALRAA_data,PublicaçãoemSeparata_data,ParecerdoGovernodaRAM_data,NovaaudiçãopromovidapeloPARparaoGovernodaRAA_data,RequerimentoBaixaComissãosemVotaçãoGeneralidade_data,Novaapreciaçãocomissãogeneralidade_data,iniciativasOriginadas,DeliberaçãoPublicaçãoDAR_data,AdmissãoPropostadeAlteração_data,ApreciaçãodeDecretoLei_data,Votaçãonaespecialidade_data,VetoReceção_data,VetoLeitura_data,VetoPublicação_data,AdmissãoPropostadeAlteraçãodecreto_data,Reapreciaçãododecreto_data,Votaçãonovodecreto_data,Decreto2ªversãoPublicação_data,Envioparapromulgação2ªversão_data,Promulgação2ªversão_data,Referenda2ªversão_data,EnvioINCM2ªversão_data,Requerimentodispensaredaçãofinal_data,leg
Baixacomissãoespecialidade,2025-06-03,2025-06-06,2025-06-17,2025-06-30,2025-09-19,2025-09-26,2025-09-26,,9,R,Projeto de Resolução,XVII,1,2025-06-03,Pela adoção de um plano nacional de combate à violência sexual baseada em imagens,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c7a466a5a6a4a6a4f544d344c546b78597a41744e4756684d5331684d6d4a6c4c5749355a544d7a4d5751324d3255334f53356b62324e34&fich=1cf2c938-91c0-4ea1-a2be-b9e331d63e79.docx&Inline=true,315045,,,,,6864,Inês de Sousa Real,PAN,Lisboa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l17
ResoluçãodaARPublicaçãoDR,2025-06-24,2025-06-25,2025-06-26,2025-07-02,,,,,74,R,Projeto de Resolução,XVII,1,2025-06-03,"Recomenda ao Governo a reabilitação urgente da EN 268 nos acessos rodoviários e pedonais à Vila de Sagres

",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c3251324f5751355a574d344c544d354d4463744e4455784d4330354e446c694c5759305a574a6a595456694e6a56694d79356b62324e34&fich=d69d9ec8-3907-4510-949b-f4ebca5b65b3.docx&Inline=true,315150,,,,,7336,Pedro Pinto,CH,Faro,2025-06-24,2025-10-07,,2025-09-30,2025-10-16,2025-10-16,2025-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l17
ResoluçãodaARPublicaçãoDR,2025-06-24,2025-06-25,2025-06-26,2025-07-02,,,,,74,R,Projeto de Resolução,XVII,1,2025-06-03,"Recomenda ao Governo a reabilitação urgente da EN 268 nos acessos rodoviários e pedonais à Vila de Sagres

",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c3251324f5751355a574d344c544d354d4463744e4455784d4330354e446c694c5759305a574a6a595456694e6a56694d79356b62324e34&fich=d69d9ec8-3907-4510-949b-f4ebca5b65b3.docx&Inline=true,315150,,,,,7358,João Paulo Graça,CH,Faro,2025-06-24,2025-10-07,,2025-09-30,2025-10-16,2025-10-16,2025-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l17
ResoluçãodaARPublicaçãoDR,2025-06-24,2025-06-25,2025-06-26,2025-07-02,,,,,74,R,Projeto de Resolução,XVII,1,2025-06-03,"Recomenda ao Governo a reabilitação urgente da EN 268 nos acessos rodoviários e pedonais à Vila de Sagres

",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c3251324f5751355a574d344c544d354d4463744e4455784d4330354e446c694c5759305a574a6a595456694e6a56694d79356b62324e34&fich=d69d9ec8-3907-4510-949b-f4ebca5b65b3.docx&Inline=true,315150,,,,,7373,Sandra Ribeiro,CH,Faro,2025-06-24,2025-10-07,,2025-09-30,2025-10-16,2025-10-16,2025-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l17
ResoluçãodaARPublicaçãoDR,2025-06-24,2025-06-25,2025-06-26,2025-07-02,,,,,74,R,Projeto de Resolução,XVII,1,2025-06-03,"Recomenda ao Governo a reabilitação urgente da EN 268 nos acessos rodoviários e pedonais à Vila de Sagres

",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c3251324f5751355a574d344c544d354d4463744e4455784d4330354e446c694c5759305a574a6a595456694e6a56694d79356b62324e34&fich=d69d9ec8-3907-4510-949b-f4ebca5b65b3.docx&Inline=true,315150,,,,,7883,Ricardo Moreira,CH,Faro,2025-06-24,2025-10-07,,2025-09-30,2025-10-16,2025-10-16,2025-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l17
Votaçãonageneralidade,2025-06-03,2025-06-06,2025-06-17,2025-06-30,2025-07-10,2025-07-11,,,10,R,Projeto de Resolução,XVII,1,2025-06-03,Cria um grupo de trabalho para a atribuição da natureza pública aos crimes contra a liberdade sexual e a melhoria do quadro jurídico-penal aplicável à violência contra as mulheres tendo em vista o pleno cumprimento da Convenção de Istambul,SIM,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c7a5a6b4d7a67325a6a6c6d4c5459774e6a49744e446c6c4e7930354f4752694c574d784d7a453159545a6d4d324d774e53356b62324e34&fich=6d386f9f-6062-49e7-98db-c1315a6f3c05.docx&Inline=true,315046,,,,,6864,Inês de Sousa Real,PAN,Lisboa,,,,,,,,2025-07-11,Iniciativa retirada a pedido do(s) autor(es) em 2025-07-11.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l17
Baixacomissãoparadiscussão,2025-06-05,2025-06-12,2025-06-17,2025-07-02,,,,,16,R,Projeto de Resolução,XVII,1,2025-06-03,"Recomenda ao Governo que cumpra o disposto na Lei de Bases do Clima, aprovada pela Lei n.º 98/2021, de 31 de dezembro, e leve a cabo as diligências que nesse âmbito são colocadas sob sua competência",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c3249784d446c6b4f44646c4c5449314d6a49744e4445314f4330345a6a59774c5459305a5745784d6d517a4d4451325953356b62324e34&fich=b109d87e-2522-4158-8f60-64ea12d3046a.docx&Inline=true,315056,,,,,6864,Inês de Sousa Real,PAN,Lisboa,2025-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l17
Votaçãonageneralidade,2025-06-03,2025-06-06,2025-06-17,2025-06-27,2025-07-11,2025-07-11,,,6,R,Projeto de Resolução,XVII,1,2025-06-03,Recomenda ao Governo que reconheça o estado da Palestina ,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c324d794d7a6b794d57457a4c546c6c595441744e47457a4e6930344e47466c4c544d79597a6c6c597a497a597a51784d69356b62324e34&fich=c23921a3-9ea0-4a36-84ae-32c9ec23c412.docx&Inline=true,315041,,,,,4557,Mariana Mortágua,BE,Lisboa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l17
Baixacomissãoparadiscussão,2025-06-05,2025-06-12,2025-06-17,2025-07-02,,,,,15,R,Projeto de Resolução,XVII,1,2025-06-03,Pela aprovação de um orçamento de carbono 2026-2030 que cumpra os compromissos do Acordo de Paris,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c7a59324d4745794d4441344c5459334e7a4d744e4451794d5330344e7a56684c5751794d7a4e684d5745794f474d784d43356b62324e34&fich=660a2008-6773-4421-875a-d233a1a28c10.docx&Inline=true,315055,,,,,6864,Inês de Sousa Real,PAN,Lisboa,2025-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l17
Baixacomissãoparadiscussão,2025-06-06,2025-06-12,2025-06-17,2025-07-02,,,,,21,R,Projeto de Resolução,XVII,1,2025-06-03,Implementa um Plano de Capacitação da Unidade Local de Saúde do Tâmega e Sousa,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c32526a4d3251314e57526d4c5468694f5759744e446b7a596931694e6d51344c54686a4e4759324f5759304e54426b4d43356b62324e34&fich=dc3d55df-8b9f-493b-b6d8-8c4f69f450d0.docx&Inline=true,315065,,,,,817,Alfredo Maia,PCP,Porto,2025-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,l17
