iniNr,id,Tipo,iniTipo,iniDescTipo,iniLeg,iniSel,dataInicioleg,iniTitulo,iniTextoSubst,iniLinkTexto,iniId,iniAutorOutros,iniAnexos,iniEventos,fase,iniAutorOutros_sigla,iniAutorOutros_nome,autor,idComissao,nomeComissao,competenteComissao,resultado,reuniao,ausencias,PSD,CH,PS,CDS-PP,IL,L,PCP,BE,PAN,data,unanime,JPP,tipoReuniao,descricao,iniAutorDeputados,iniAutorGruposParlamentares,peticoes,iniTextoSubstCampo,publicacao,iniciativasOrigem,iniciativasOriginadas,ano,leg
86,139066,I,R,Projeto de Resolução,XVII,1,2025-06-03,Recomenda ao Governo que elabore e apresente um relatório de avaliação da aplicação do Regime Jurídico da Educação Inclusiva com vista à respetiva melhoria contínua ,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c7a6b324e5759314f4459334c5463775a5441744e4751314e4331685a6a51794c544a6a4e5455344e4745344d7a49775a43356b62324e34&fich=965f5867-70e0-4d54-af42-2c5584a8320d.docx&Inline=true,315179,,,,Votação na generalidade,G,Grupos Parlamentares,PAN,,,,Rejeitado,9,,Contra,A Favor,Abstenção,Contra,A Favor,A Favor,A Favor,A Favor,A Favor,2025-07-04,,A Favor,RP,,,PAN,,,,,,2025,l17
112,139038,I,R,Projeto de Resolução,XVII,1,2025-06-03,"Pelo aumento de vagas em respostas sociais destinadas a idosos, garantindo o cumprimento das metas do PRR e acelerando a sua execução",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c32566a5a6d45335a6a55784c546c6d4e7a41744e4745354d6930345a44686d4c5467315a574e6c4e5449354e6a566a4d43356b62324e34&fich=ecfa7f51-9f70-4a92-8d8f-85ece52965c0.docx&Inline=true,315218,,,,Votação na generalidade,G,Grupos Parlamentares,PS,8456,"Comissão de Trabalho, Segurança Social e Inclusão ",N,Aprovado,9,,Abstenção,Abstenção,A Favor,Abstenção,A Favor,A Favor,Abstenção,Abstenção,A Favor,2025-07-04,,A Favor,RP,,,PS,,,,,,2025,l17
87,139067,I,R,Projeto de Resolução,XVII,1,2025-06-03,Por uma Inclusão Efetiva nas Escolas,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c7a426c4f446b774d7a686c4c5455784e5455744e4463324e6931684f446b314c54526d59574d7759544d324d6d457a5a43356b62324e34&fich=0e89038e-5155-4766-a895-4fac0a362a3d.docx&Inline=true,315180,,,,Votação na generalidade,G,Grupos Parlamentares,PAN,,,,Rejeitado,9,,Contra,A Favor,Abstenção,Contra,Contra,A Favor,A Favor,A Favor,A Favor,2025-07-04,,A Favor,RP,,,PAN,,,,,,2025,l17
82,139065,I,R,Projeto de Resolução,XVII,1,2025-06-03,A emergência na consolidação de aprendizagens,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c324d3159574d324d6d56694c544d784e6d51744e4467314e4331684d4445334c57566a5a6d56694e6a426c5954557a4d79356b62324e34&fich=c5ac62eb-316d-4854-a017-ecfeb60ea533.docx&Inline=true,315167,,,,Votação na generalidade,G,Grupos Parlamentares,IL,8454,Comissão de Educação e Ciência,S,Rejeitado,9,,Contra,A Favor,Abstenção,Contra,A Favor,Abstenção,A Favor,Abstenção,A Favor,2025-07-04,,A Favor,RP,,,IL,,,,,,2025,l17
67,139076,I,J,Projeto de Lei,XVII,1,2025-06-03,"Altera a Lei da nacionalidade (altera a Lei n.º 37/81, de 3 de outubro)

",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c324533597a59325a57597a4c5467794e4751744e474d334f4330354f544d324c57466a4e5452694d444d324f44686b4d53356b62324e34&fich=a7c66ef3-824d-4c78-9936-ac54b03688d1.docx&Inline=true,315223,,,,Requerimento Baixa Comissão sem Votação (Generalidade),G,Grupos Parlamentares,BE,8447,"Comissão de Assuntos Constitucionais, Direitos, Liberdades e Garantias ",S,Rejeitado,9,,Contra,Contra,Contra,Contra,A Favor,A Favor,A Favor,A Favor,A Favor,2025-07-04,,A Favor,RP,"Requerimento, apresentado pelo BE, solicitando a baixa à Comissão de Assuntos Constitucionais, Direitos, Liberdade e Garantias, sem votação, por 90 dias, do Projeto de Lei n.º 67/XVII/1.ª (BE)",,BE,,,,,,2025,l17
58,139031,I,J,Projeto de Lei,XVII,1,2025-06-03,"Cria a Rede Pública de Residências de Apoio para as Pessoas Mais Velhas
",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c7a5a694d5445305a6a49344c57557a4d5759744e4451345a533035596a517a4c575a68596d55315a6a45784e5745354d69356b62324e34&fich=6b114f28-e31f-448e-9b43-fabe5f115a92.docx&Inline=true,315195,,,,Votação na generalidade,G,Grupos Parlamentares,L,8456,"Comissão de Trabalho, Segurança Social e Inclusão ",S,Rejeitado,9,,Contra,A Favor,Abstenção,Contra,Contra,A Favor,A Favor,A Favor,A Favor,2025-07-04,,A Favor,RP,,,L,,,,,,2025,l17
60,139079,I,J,Projeto de Lei,XVII,1,2025-06-03,Cria a Unidade Nacional de Polícia de Estrangeiros e Fronteiras da Polícia de Segurança Pública,SIM,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c7a526c5a5441794d6a41314c574933595755744e4745305a6931684f474e6b4c546b354f546b784f544579597a52694f43356b62324e34&fich=4ee02205-b7ae-4a4f-a8cd-99991912c4b8.docx&Inline=true,315208,,,,Votação na generalidade,G,Grupos Parlamentares,CH,8447,"Comissão de Assuntos Constitucionais, Direitos, Liberdades e Garantias ",S,Aprovado,9,,A Favor,A Favor,Contra,A Favor,Abstenção,Contra,Contra,Contra,Contra,2025-07-04,,Abstenção,RP,,,CH,,Substituição do texto a pedido do autor em 2025-07-01.,,,,2025,l17
57,139054,I,J,Projeto de Lei,XVII,1,2025-06-03,"Altera o Decreto-Lei n.º 169/2001, de 25 de maio, estendendo as suas medidas de proteção aos carvalhos",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c3251344e6d51794e7a67784c5751784f444d744e445530597930354e6a55304c5755774d574e6b5a444979593251344d53356b62324e34&fich=d86d2781-d183-454c-9654-e01cdd22cd81.docx&Inline=true,315194,,,,Votação na generalidade,G,Grupos Parlamentares,L,8453,Comissão de Agricultura e Pescas ,S,Rejeitado,9,,Contra,Abstenção,Abstenção,Contra,Contra,A Favor,A Favor,A Favor,A Favor,2025-07-04,,A Favor,RP,,,L,,,,,,2025,l17
91,139041,I,R,Projeto de Resolução,XVII,1,2025-06-03,Pela melhoria e atualização da legislação sobre doenças profissionais,SIM,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c7a45344e545a6d59546b344c57557a59546b744e446c6c5a6931694e6a51794c545a6d59325a6a4d7a59784f5455345a43356b62324e34&fich=1856fa98-e3a9-49ef-b642-6fcfc361958d.docx&Inline=true,315184,,,,Votação na generalidade,G,Grupos Parlamentares,PAN,8456,"Comissão de Trabalho, Segurança Social e Inclusão ",N,Aprovado,9,,Abstenção,A Favor,A Favor,Abstenção,Abstenção,A Favor,A Favor,A Favor,A Favor,2025-07-04,,A Favor,RP,,,PAN,,Substituição do título a pedido do autor em 2025-07-02.,,,,2025,l17
73,139092,I,J,Projeto de Lei,XVII,1,2025-06-03,Altera o Código do Imposto sobre o Rendimento das Pessoas Singulares,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c7a646c4e7a59354d3246684c5759774e5459744e47526c4d69303559544a694c54466b596d45345a574d324d6a5a6a4e79356b62324e34&fich=7e7693aa-f056-4de2-9a2b-1dba8ec626c7.docx&Inline=true,315230,,,,Votação na generalidade,G,Grupos Parlamentares,PCP,8451,"Comissão de Orçamento, Finanças e Administração Pública ",S,Rejeitado,9,,Contra,Contra,Abstenção,Contra,Contra,A Favor,A Favor,A Favor,A Favor,2025-07-04,,A Favor,RP,,,PCP,,,,,,2025,l17
117,139096,I,R,Projeto de Resolução,XVII,1,2025-06-03,"Pela inclusão dos contratos celebrados após 31 de dezembro de 2011 no âmbito da dedução de encargos com juros de dívidas contraídas no âmbito de contratos de crédito à habitação, prevista nas alíneas b), c) e d) do número 1 do artigo 78.º-E do Código do IRS",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c325930595455324e6a45324c5759775a4755744e475535597930354d574d314c5449344e575a694d4759775932526a4f43356b62324e34&fich=f4a56616-f0de-4e9c-91c5-285fb0f0cdc8.docx&Inline=true,315236,,,,Votação na generalidade,G,Grupos Parlamentares,PAN,,,,Rejeitado,9,,Contra,Abstenção,Abstenção,Contra,A Favor,A Favor,A Favor,A Favor,A Favor,2025-07-04,,A Favor,RP,,,PAN,,,,,,2025,l17
23,139086,I,R,Projeto de Resolução,XVII,1,2025-06-03,Recomenda ao Governo que adote medidas adequadas à imediata suspensão do reagrupamento familiar pedida por imigrantes com residência legal em Portugal,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c7a59794e44686c596d597a4c5463314e6a6b744e4463314f4331684d44457a4c546c6b4e57597a4d5467324f4451305a53356b62324e34&fich=6248ebf3-7569-4758-a013-9d5f3186844e.docx&Inline=true,315075,,,,Votação Deliberação,G,Grupos Parlamentares,CH,8447,"Comissão de Assuntos Constitucionais, Direitos, Liberdades e Garantias ",S,Rejeitado,9,,Contra,A Favor,Contra,Contra,Contra,Contra,Contra,Contra,Contra,2025-07-04,,Contra,RP,,,CH,,,,,,2025,l17
85,139058,I,R,Projeto de Resolução,XVII,1,2025-06-03,Recomenda ao Governo finalizar o cadastro dos terrenos e incentivar o emparcelamento da propriedade rural,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c3249304d574533593246694c5755794d474d744e4751355979303459574d774c5451324e446c6c597a51335a6a6b314e79356b62324e34&fich=b41a7cab-e20c-4d9c-8ac0-4649ec47f957.docx&Inline=true,315177,,,,Votação na generalidade,G,Grupos Parlamentares,IL,8453,Comissão de Agricultura e Pescas ,N,Aprovado,9,,A Favor,A Favor,A Favor,A Favor,A Favor,A Favor,Abstenção,A Favor,A Favor,2025-07-04,,A Favor,RP,,,IL,,,,,,2025,l17
68,139083,I,J,Projeto de Lei,XVII,1,2025-06-03,"Elimina os vistos gold (altera a Lei n.º 23/2007, de 4 de julho, Regime jurídico de entrada, permanência, saída e afastamento de estrangeiros do território nacional)

",NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c7a6b304e32457a4e3259344c5452684d6a49744e4751314e6931694d7a49354c54597a4f4755775a6a42684d4467785a43356b62324e34&fich=947a37f8-4a22-4d56-b329-638e0f0a081d.docx&Inline=true,315224,,,,Votação na generalidade,G,Grupos Parlamentares,BE,8447,"Comissão de Assuntos Constitucionais, Direitos, Liberdades e Garantias ",S,Rejeitado,9,,Contra,Contra,Abstenção,Contra,Contra,A Favor,A Favor,A Favor,A Favor,2025-07-04,,A Favor,RP,,,BE,,,,,,2025,l17
51,139030,I,J,Projeto de Lei,XVII,1,2025-06-03,Altera o Decreto-Lei n.º 141/89 pelo reconhecimento dos Serviços de Apoio Domiciliário lucrativo,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c3249334e7a51344e6a52684c546c6d4f4463744e474e6a5a533034596a5a684c574d7a5a54466c5a5467344d6a45775979356b62324e34&fich=b774864a-9f87-4cce-8b6a-c3e1ee88210c.docx&Inline=true,315173,,,,Votação na generalidade,G,Grupos Parlamentares,IL,8456,"Comissão de Trabalho, Segurança Social e Inclusão ",S,Rejeitado,9,,Contra,A Favor,Contra,Contra,A Favor,Contra,Contra,Contra,Abstenção,2025-07-04,,Abstenção,RP,,,IL,,,,,,2025,l17
4,139082,I,P,Proposta de Lei,XVII,1,2025-06-03,Altera o Código do Imposto sobre o Rendimento das Pessoas Singulares,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c325a6a4e7a426b4f44497a4c5745785a544d744e4751775a5331694d5756694c5745774d4451794f545a6a4f44637a4e79356b62324e34&fich=fc70d823-a1e3-4d0e-b1eb-a004296c8737.docx&Inline=true,315164,,,,Votação na generalidade,V,Governo,Governo,8451,"Comissão de Orçamento, Finanças e Administração Pública ",S,Aprovado,9,,A Favor,A Favor,Abstenção,A Favor,A Favor,Contra,Contra,Contra,A Favor,2025-07-04,,A Favor,RP,,,,,,,,,2025,l17
102,139070,I,R,Projeto de Resolução,XVII,1,2025-06-03,Por uma educação inclusiva,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c324e6a4e6d59354e574a684c546b344e4745744e4759784e4330354e7a4a694c5749334f4745354d32566d593259304e69356b62324e34&fich=cc6f95ba-984a-4f14-972b-b78a93efcf46.docx&Inline=true,315202,,,,Votação na generalidade,G,Grupos Parlamentares,BE,,,,Rejeitado,9,,Contra,Abstenção,Abstenção,Contra,Contra,A Favor,A Favor,A Favor,A Favor,2025-07-04,,A Favor,RP,,,BE,,,,,,2025,l17
52,139039,I,J,Projeto de Lei,XVII,1,2025-06-03,Cria a definição e critérios de acesso à profissão de desgaste rápido,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c3251774e6a41355a6a5a6a4c54466c4d444d744e446b7a4e7930355a4463334c54646d5a544d305a4749324e7a646b4e53356b62324e34&fich=d0609f6c-1e03-4937-9d77-7fe34db677d5.docx&Inline=true,315174,,,,Votação na generalidade,G,Grupos Parlamentares,IL,8456,"Comissão de Trabalho, Segurança Social e Inclusão ",S,Rejeitado,9,,Contra,Abstenção,Contra,Contra,A Favor,Abstenção,A Favor,A Favor,A Favor,2025-07-04,,A Favor,RP,,,IL,,,,,,2025,l17
50,139029,I,J,Projeto de Lei,XVII,1,2025-06-03,Pela simplificação na instalação e licenciamento de equipamentos de apoio social geridos por entidades privadas,NAO,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4a5447566e4c305276593356745a57353062334e4a626d6c6a6157463061585a684c7a4d324d4463334d54466a4c54517a5a6d51744e474a6c596930354d445a684c54686b59325533596a55315a446b324d79356b62324e34&fich=3607711c-43fd-4beb-906a-8dce7b55d963.docx&Inline=true,315172,,,,Votação na generalidade,G,Grupos Parlamentares,IL,8456,"Comissão de Trabalho, Segurança Social e Inclusão ",S,Rejeitado,9,,Contra,A Favor,Contra,Contra,A Favor,Abstenção,Contra,Contra,Abstenção,2025-07-04,,Abstenção,RP,,,IL,,,,,,2025,l17
